id,captured_at,compass_angle,creator_id,is_pano,sequence_id,lon,lat,organization_id,svf,gvi,svf_percent,gvi_percent,lst,ndvi,ndbi,lst_norm,gvi_norm,ndvi_norm,svf_norm,priority_score,priority_level,shade,temp_comfort,veg_comfort,pci,comfort_level,seg_lat,seg_lon,segment_id
495903978498108,1533882004421,29.591796875,105455461693813,False,od20ro7mrpysaeqn32allb,55.29875457286835,25.24508411767027,492619558525608.0,0.3599090576171875,0.0043284098307291,35.99090576171875,0.43284098307291,49.02569231000001,0.0471485294401645,0.1260412633419037,0.4296482412060309,0.9933394158352148,0.8468124399991929,0.4907728026994082,0.6631725588459659,High,0.6400909423828125,0.570351758793969,0.006660584164785148,0.4538376793927683,Comfortable,25.245,55.299,25.245_55.299
229334125656707,1613727514500,300.34299375445,104723918435539,False,l890jopinugy0dw9uav6hd,55.30494511127472,25.25455499267737,,0.6083806355794271,,60.83806355794271,0.0,50.081860490000025,0.0165347382426261,0.105551540851593,0.5708085883965309,,0.8994598878287213,0.8295963892294168,,,0.3916193644205729,0.4291914116034691,,,,25.2545,55.305,25.2545_55.305
2236862879782915,1496322276000,24.72684641816,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.30259013175965,25.247252974409648,1805883732926354.0,0.2687038845486111,0.0090162489149305,26.87038845486111,0.90162489149305,48.93169676000002,0.0394351705908775,0.1518808603286743,0.4170854271356807,0.9861252098503918,0.8600773327721246,0.3664025865860728,0.640341327859206,High,0.7312961154513888,0.5829145728643192,0.013874790149608263,0.49258816709111586,Comfortable,25.247500000000002,55.3025,25.247500000000002_55.3025
133689959607577,1676372323867,252.50108528137207,106609934906640,False,bA3hLdalrkNnqY5w48iv6o,55.30100762844086,25.249513978472095,,0.2878888448079427,0.0893656412760416,28.78888448079427,8.93656412760416,47.08425695,0.0865863412618637,0.1586987078189849,0.1701690269529451,0.8624739801821327,0.7789900612877114,0.392563796233521,0.4983686875192817,Medium,0.7121111551920574,0.8298309730470548,0.1375260198178673,0.6155527984905088,Very Comfortable,25.2495,55.301,25.2495_55.301
530994541238456,1496322748000,300.98713053906,111480967750226,False,mFYK0hGDlQTlFZnS5pG3Ww,55.3044193983078,25.25059594621669,1805883732926354.0,0.2589467366536458,0.1276092529296875,25.894673665364586,12.76092529296875,49.883615330000026,0.1262626051902771,-0.0853437110781669,0.5443124714481528,0.8036201485728542,0.7107576093916619,0.353097435666243,0.6137461629507435,High,0.7410532633463542,0.45568752855184724,0.19637985142714573,0.49073861644874933,Comfortable,25.2505,55.304500000000004,25.2505_55.304500000000004
956125761821791,1496322221000,170.80953130745,111480967750226,False,wEGgAzW5CIJ6tC0jp2VEVQ,55.30298173427582,25.245540211563807,1805883732926354.0,0.1225704616970486,0.0162489149305555,12.25704616970486,1.62489149305555,48.31816217000002,0.0866752937436103,0.1163442581892013,0.3350845134764754,0.9749947206166648,0.7788370870575076,0.1671304974057267,0.5586194775671169,Medium,0.8774295383029513,0.6649154865235245,0.02500527938333533,0.5793178528612766,Comfortable,25.2455,55.303000000000004,25.2455_55.303000000000004
479330113350898,1496322399000,272.24462081703,111480967750226,False,wEGgAzW5CIJ6tC0jp2VEVQ,55.3046178817749,25.246520322436226,1805883732926354.0,0.3575625949435764,,35.75625949435764,0.0,49.65460798999999,-0.0039854529313743,0.095817431807518,0.5137048880767452,,0.934749071298817,0.4875730930776802,,,0.6424374050564237,0.4862951119232548,,,,25.2465,55.304500000000004,25.2465_55.304500000000004
768421195063731,1686996219680,92.2979142665863,106609934906640,False,5oDUmfWxE7VqbpsiZQ0k3e,55.30015468597412,25.24811662470485,,0.2913450057641634,0.0381579895421607,29.13450057641634,3.81579895421607,49.73664047,0.0321382470428943,0.1520932167768478,0.5246687985381443,0.9412784231188156,0.8726260693637361,0.3972767250136072,0.67930384781975,High,0.7086549942358367,0.4753312014618557,0.058721576881184324,0.4528421227875812,Comfortable,25.248,55.300000000000004,25.248_55.300000000000004
898279612772678,1767256055928,67.0,106609934906640,False,kO0Qw2TH5RNugaBDP8snoW,55.30242383480072,25.251445017294856,,0.1547495524088541,0.0138397216796875,15.47495524088541,1.38397216796875,48.51128030000001,0.0128617482259869,-0.020387377589941,0.3608953860210147,0.978702274578485,0.9057764380734012,0.2110109082586146,0.6018406469064996,High,0.8452504475911459,0.6391046139789853,0.021297725421514934,0.5568039336038739,Comfortable,25.2515,55.3025,25.2515_55.3025
369360635632065,1716707894866,293.35,104723918435539,False,IzD18e9xfdctWqKYyuioEX,55.300133228302,25.246743514896053,,0.358716328938802,0.0167986551920572,35.871632893880204,1.67986551920572,49.00347518000001,0.0379930771887302,0.1325157880783081,0.4266788487894021,0.9741487147249543,0.8625573437144141,0.4891463607059936,0.6600921410457813,High,0.641283671061198,0.5733211512105979,0.02585128527504554,0.46024056667441976,Comfortable,25.2465,55.300000000000004,25.2465_55.300000000000004
