segment_id,lat,lon,pci_mean,pci_std,point_count,lst_mean,gvi_mean,svf_mean,shade_mean,rank
25.249_55.3005,25.248918076053748,55.300646261735395,0.4693771791163575,0.0530394574832292,9,48.72801384090913,0.040454581931785256,0.38606508813723167,0.6139349118627684,140
25.243000000000002_55.300000000000004,25.242960197887232,55.29996548707668,0.4688726396467963,0.017063508287091987,17,49.75662274076925,0.001927992876838194,0.20283247466780183,0.7971675253321983,141
25.248_55.3125,25.24816595284564,55.31266003847122,0.467863199162815,0.022302354507035535,4,50.17158351500003,0.00615268283420135,0.09013366699218749,0.9098663330078125,142
25.2515_55.306000000000004,25.25128551367881,55.30585639178753,0.4676114945294279,0.0026785164616113188,8,49.85563029125,0.027242183685302686,0.21084594726562497,0.789154052734375,143
25.2525_55.307500000000005,25.252426768024353,55.30755058578823,0.4674344081339153,0.04619459782478488,19,48.96112145391307,0.011354234483506899,0.3287055711239432,0.6712944288760567,144
25.247_55.3035,25.247092573369486,55.303449385306415,0.46688691442028335,0.01859653747597582,6,50.20159172,0.0013275146484374668,0.08822701647390724,0.9117729835260927,145
25.2505_55.309000000000005,25.250461307187997,55.30915550887585,0.4667069036475695,0.058069290300572424,16,50.08955103500002,0.17480402522616914,0.3352349069383409,0.6647650930616591,146
25.2545_55.3055,25.254349168718058,55.30541759270888,0.4659651417430143,0.051459199779580786,14,49.41284880615386,0.0025771610320559904,0.2231661478678385,0.7768338521321615,147
25.242_55.297000000000004,25.24202269127541,55.29690772294998,0.46579447959174847,0.031618904956714676,18,48.96540223499999,0.007645218460648089,0.34824519687228733,0.6517548031277127,148
25.2435_55.3005,25.243646278533973,55.300291776657104,0.4650051990406103,0.013977907077300811,3,49.97837044000002,0.0009437843605323666,0.19437983006606865,0.8056201699339314,149
25.2535_55.3035,25.253523443537723,55.30344101098868,0.46485355826734553,0.05130130549480898,25,49.421919705384646,0.01765029907226558,0.2754111493754591,0.7245888506245409,150
25.25_55.3095,25.25008341312827,55.309306383132935,0.4635962613974382,0.026261050204352893,11,49.586092225454564,0.07804623998776826,0.3247146991768268,0.6752853008231732,151
25.2455_55.307,25.24558118440199,55.306819677352905,0.46353785730979274,0.023412140309094658,4,50.143384850000025,0.0015472412109374602,0.08465237087673609,0.915347629123264,152
25.244_55.3095,25.24398269235974,55.30949950218201,0.4626195234224233,0.061494004340028434,3,49.66600139000001,0.11352324904057014,0.3527018229166667,0.6472981770833334,153
25.246000000000002_55.3035,25.245976105676167,55.30359714530235,0.460844774071841,0.023441328391498935,30,50.30196508023258,0.007299691659432828,0.1285637355282017,0.8714362644717983,154
25.245_55.306000000000004,25.244976106203403,55.30605741169142,0.46010378688648235,0.035477452578149105,14,49.874104317826095,0.014270146687825471,0.1969978221948596,0.8030021778051405,155
25.244500000000002_55.310500000000005,25.244669611372252,55.31043597630092,0.4597057204389107,0.024937533051072804,7,49.62091607857145,0.035752291189399224,0.28332541520732984,0.7166745847926702,156
25.254_55.306000000000004,25.25400917587261,55.30600941181183,0.4590006209574914,0.042377264747608494,26,49.501907946500026,0.007507716677316382,0.24656785926927527,0.7534321407307247,157
25.251_55.306000000000004,25.251210512540016,55.30610799789429,0.45776750908835584,0.008401750055937225,9,49.74480574000002,0.011282744231047389,0.24056879679361975,0.7594312032063804,158
25.235_55.304500000000004,25.235174753817788,55.30447060411627,0.4576298496663379,0.06445317867546593,31,50.34007636454548,0.009072274497923118,0.13202313948028074,0.8679768605197192,159
