shade_08,shade_10,shade_12,shade_14,shade_16,shade_avg,length,mid_lat,mid_lon
0.4462,0.3667,0.0,0.0,0.151,0.19278,20.914,25.2466397,55.3047477
1.0,0.9524,0.0,0.0,0.0,0.39048,19.641,25.246476276493663,55.30471029351794
1.0,0.0,0.0,0.0,0.0274,0.20548000000000002,118.547,25.246581870813255,55.305352938993465
1.0,0.0,0.0,0.0,1.0,0.4,30.901,25.246824576238602,55.30471608817383
0.9238,0.5172,0.0,0.0,0.9768,0.48355999999999993,38.139,25.24718665,55.30480365
1.0,1.0,0.0,0.0,0.0,0.4,3.275,25.2473635,55.3048679
1.0,0.8992,0.0,0.0,0.8288,0.5456,29.541,25.247223069495014,55.30489867555362
1.0,0.0,0.0,0.0,0.0,0.2,11.574,25.246762998976493,55.30393655091682
1.0,0.8588,0.0,0.0,0.0,0.37176,34.08,25.246895087043335,55.30400954351013
0.0,0.0,0.0,0.0,0.0,0.0,4.575,25.24774305,55.3042422
0.0,0.0,0.0,0.0,0.0,0.0,34.967,25.247791,55.3040529
0.6802,0.2824,0.0,0.1957,0.5596,0.34358000000000005,143.447,25.24836825,55.30441835
0.0,0.0,0.0,0.0228,0.8985,0.18426,26.238,25.247633188510303,55.30419445841204
0.6294,0.7326,0.0,0.0,0.2885,0.3301,22.77,25.24734205,55.304133
0.0,0.0,0.0,0.0,1.0,0.2,8.526,25.24747885,55.30416935
0.0,0.0,0.0,0.0,0.5138,0.10276,19.825,25.247397349551804,55.30407569599903
1.0,0.0,0.0,0.0,0.0,0.2,8.303,25.24708,55.3040597
1.0,0.5496,0.0,0.0,0.0,0.30992,23.481,25.24699748658709,55.30394574203494
0.8105,0.0301,0.0,0.0,0.1958,0.20728,102.518,25.246443471340072,55.30327709832325
1.0,0.8162,0.0,0.0,1.0,0.5632400000000001,30.397,25.246154081406083,55.30374754649354
0.0,0.0,0.0,0.0,0.0,0.0,54.0,25.25437945,55.309887
0.0,0.0,0.0,0.0,0.0,0.0,14.908,25.254655627093236,55.310037669273314
0.1123,0.0738,0.0542,0.0,0.0,0.04806,141.634,25.25451333361166,55.31053927530734
1.0,0.0,0.0,0.0,0.0,0.2,22.596,25.25452115,55.3071176
0.5528,0.3509,0.0,0.0,0.0,0.18073999999999998,33.452,25.2543011,55.30698175
0.7051,0.0,0.0,0.0,0.0,0.14101999999999998,96.764,25.25421905985568,55.30748250779149
0.0,0.0,0.0,0.0,0.0227,0.004540000000000001,21.996,25.25375823330371,55.309478739721534
0.0,0.0,0.0,0.0,0.0,0.0,12.295,25.2536890080697,55.30933176502352
0.6789,0.1792,0.0,0.213,0.4545,0.30511999999999995,118.258,25.25327827480723,55.30955413400379
0.0,0.0,0.0,0.0,0.0,0.0,40.286,25.2537418,55.3097314
0.0,0.0,0.0,0.0,0.0,0.0,42.734,25.253997832943405,55.309656337545505
1.0,0.0,0.0,0.0,0.0,0.2,24.759,25.25369835,55.3067315
0.7749,0.0,0.0,0.0,0.0,0.15498,22.842,25.25383775,55.3066829
0.4907,0.0,0.0,0.0,0.0,0.09814,149.648,25.254067399127745,55.305966863360595
0.0,0.0,0.0,0.0,0.2734,0.05467999999999999,86.262,25.2544606,55.3087061
1.0,0.5628,0.0,0.0,0.0,0.31256,20.319,25.25409005,55.3068513
1.0,0.0,0.0,0.0,0.0,0.2,6.778,25.25398445,55.30678415
0.7284,0.0,0.0,0.0,0.0,0.14568,95.137,25.25440948144683,55.306927459824465
0.6546,0.579,0.0,0.0,0.0,0.24672,110.879,25.2386654,55.29407415
0.0992,0.0,0.0,0.0,0.5112,0.12208,8.493,25.237164855262186,55.29206670426963
1.0,0.437,0.0,0.0,0.7335,0.43410000000000004,61.251,25.237449428644897,55.29215911549232
0.5825,0.2857,0.046,0.115,0.3493,0.2757,105.683,25.237098064431393,55.29167551932321
0.9136,0.5415,0.0,0.0,0.0,0.29101999999999995,92.647,25.23806195,55.29251335
0.0,0.0,0.0,0.0,0.0,0.0,6.108,25.23845395,55.2927438
0.0,0.0,0.0,0.0,0.0,0.0,49.816,25.238394568264514,55.292951598572195
0.6356,0.0,0.0,0.0,0.0,0.12712,27.706,25.23811575,55.2937496
0.0697,0.0,0.0,0.0,0.0,0.01394,61.367,25.23816027783208,55.29343487922127
0.974,0.0,0.0,0.0,0.0052,0.19584,84.036,25.23766702696939,55.293514386259204
0.0,0.0,0.0,0.0,0.4736,0.09472,3.89,25.23860555,55.30274265
0.0,0.0,0.0,0.0,0.8872,0.17744,26.681,25.23847452501054,55.302711037543375
0.0744,0.0,0.0,0.0,0.3034,0.07556,14.374,25.238557800089172,55.30280886163961
0.0,0.0,0.0,0.0,1.0,0.2,20.055,25.2412336,55.29808855
0.0,0.0,0.0,0.0,0.2104,0.04208,80.392,25.240891203762313,55.298238548880704
0.3828,0.3285,0.0,0.8351,1.0,0.5092800000000001,77.314,25.240994747643416,55.297814583055626
0.0,0.0,0.0,0.0,0.6655,0.1331,41.623,25.2414611,55.30253575
0.0,0.0,0.0,0.0,0.073,0.014599999999999998,47.098,25.24141114652224,55.30291572390603
0.5894,0.5894,0.5923,0.8664,1.0,0.7275,41.956,25.24124438833551,55.30287383519034
1.0,0.0,0.0,0.0,0.0,0.2,8.155,25.2435015,55.3002275
0.6707,0.0,0.0,0.0,0.7993,0.294,30.655,25.2433482,55.3001353
1.0,0.2495,0.0,0.0,0.0,0.2499,25.08,25.24335853222179,55.300224886423216
1.0,0.0,0.0,0.0,0.0,0.2,5.135,25.242099,55.303225
1.0,0.0,0.0,0.0,0.0,0.2,12.232,25.2420238,55.30320175
0.5778,0.0,0.0,0.0,0.0,0.11556,36.682,25.241962500463508,55.303092876884584
1.0,1.0,0.0,0.0,0.0,0.4,12.451,25.2399865,55.3025263
0.1107,0.1894,0.0,0.0,0.0,0.060020000000000004,24.81,25.24014895,55.30257154999999
0.1005,0.1918,0.0,0.0,0.703,0.19906,24.437,25.240132286757405,55.30247543987778
1.0,0.5078,0.0,0.0,0.9185,0.48525999999999997,17.017,25.2418094,55.2992363
0.7378,0.0,0.0,0.0,0.5737,0.26230000000000003,13.458,25.2416865,55.2991693
1.0,0.0,0.0,0.0,0.0572,0.21144,17.355,25.24173214903412,55.2992851546085
0.2491,0.0,0.0,0.0,0.2512,0.10006,39.409,25.2398423,55.3003398
1.0,0.0,0.0,0.0,1.0,0.4,50.203,25.23964815,55.30073015
1.0,0.0,0.0,0.0,0.0722,0.21444000000000002,22.12,25.23984465,55.3005656
0.1996,0.0,0.0,0.0,1.0,0.23992,19.429,25.24043665,55.30042175
1.0,0.0,0.0,0.0,0.6183,0.32366,15.873,25.2404789,55.3005375
1.0,0.0,0.0,0.0,0.6238,0.32476000000000005,94.758,25.24071805,55.30005525
0.779,0.0,0.0,0.0,0.0,0.1558,39.018,25.24145945,55.3012619
0.0496,0.0,0.0,0.0,0.5094,0.11179999999999998,38.376,25.2416288,55.3009258
0.0,0.0,0.0,0.0,0.0,0.0,16.554,25.2416112,55.3011334
0.2336,0.0,0.0,0.0,0.0,0.04672,111.294,25.241807,55.30187875
0.0,0.0,0.0,0.6079,0.9482,0.31122,48.659,25.24216035,55.3011863
0.0,0.0,0.0,0.0,0.0,0.0,19.685,25.2419812,55.30135145
0.2159,0.0,0.0,0.0,0.0,0.04318,19.169,25.24129655,55.30138585
0.9897,0.0,0.0,0.0,0.0,0.19794,71.909,25.2412205,55.3017459
1.0,0.5385,0.0,0.0,0.0,0.3077,33.989,25.2397837,55.3024713
0.095,0.0,0.0,0.0,0.661,0.1512,18.931,25.2395537,55.30240395
0.0812,0.0,0.0,0.0,0.4916,0.11456,21.785,25.239632261866497,55.30232276461208
0.0,0.0,0.0,0.0,0.0,0.0,0.868,25.24273935,55.3040437
0.0,0.0,0.0,0.0,0.0,0.0,16.977,25.242738777502588,55.304126647783775
0.0,0.0,0.0,0.0,0.2756,0.05512,24.761,25.242848472218796,55.304080579621626
0.0,0.0,0.0,0.0,1.0,0.2,2.936,25.24259935,55.3039927
0.0,0.0,0.0,0.0349,0.1365,0.03428,29.112,25.242707207449886,55.30388791476016
0.0,0.0,0.0,0.0,0.1406,0.02812,16.208,25.24268066460254,55.30399786079975
0.0,0.0,0.0,0.0,0.8693,0.17386,82.094,25.242228241385817,55.30391883007663
0.0,0.0,0.0,0.0,0.329,0.0658,17.608,25.242551190805184,55.3040718868714
0.0,0.0,0.0,0.0,0.0,0.0,7.499,25.24282385,55.3037603
0.7189,0.0,0.0,0.0,0.0,0.14378,21.755,25.24289595,55.3036396
0.0,0.0,0.0,0.0,0.0,0.0,33.159,25.242792168274175,55.303886552049164
0.0,0.0,0.0,0.0,0.1973,0.03946,43.601,25.242860717610395,55.30393548733892
0.8964,0.5181,0.0,0.0,0.0,0.2829,52.994,25.242998092934887,55.303615377753665
0.7749,0.0,0.0,0.0,0.0,0.15498,31.728,25.2444669,55.3005948
0.9686,0.0,0.0,0.0,0.0,0.19372,14.241,25.24455569315756,55.30039004458996
0.9808,0.0,0.0,0.0,0.0,0.19616,14.189,25.24457392237331,55.30039971942332
1.0,1.0,0.0,0.0,1.0,0.6,13.81,25.23715095,55.30366425
