id,captured_at,compass_angle,creator_id,is_pano,sequence_id,lon,lat,organization_id,svf,gvi,svf_percent,gvi_percent
764201017593646,1496292069000,270.0,111480967750226,False,JLhia0sxlvAfmlq8LgiWrg,55.29966652393341,25.24723356646733,1805883732926354.0,0.1712561713324653,,17.12561713324653,0.0
822312681745360,1496322205000,42.128973502762,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.30314803123474,25.24555476772372,1805883732926354.0,0.2094963921440972,0.0103556315104166,20.94963921440972,1.03556315104166
3921653007911964,1613727613000,208.48785967359,104723918435539,False,l890jopinugy0dw9uav6hd,55.30022978782654,25.248213663680176,,0.5382347106933594,0.0306752522786458,53.82347106933594,3.06752522786458
385858642607893,1496322249000,296.50482327455,111480967750226,False,wEGgAzW5CIJ6tC0jp2VEVQ,55.30189275741577,25.246292277542963,1805883732926354.0,0.0662265353732639,0.0006730821397569,6.622653537326389,0.06730821397569
486175120908686,1727525492640,164.0,106609934906640,False,93cAitXrnY4RQlZohzMegU,55.30491828918457,25.254598657911515,,0.15740966796875,,15.740966796875,0.0
548556816130181,1496292100000,28.919631965085,111480967750226,False,JLhia0sxlvAfmlq8LgiWrg,55.29967188835144,25.24723356646733,1805883732926354.0,0.1451856825086805,0.0016699896918402,14.51856825086805,0.16699896918402
224232322416313,1591514870500,68.797380794086,104723918435539,False,XiZBXRgaToRDeOtKfEPGbA,55.305052399635315,25.244904590880935,,0.4439239501953125,0.0051841735839843,44.39239501953125,0.5184173583984301
164451128937298,1496322302000,117.60549442076,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.303915143013,25.247859471045302,1805883732926354.0,0.2215525309244791,0.00787353515625,22.15525309244791,0.787353515625
308595254234325,1496291977000,210.63408771509,111480967750226,False,Tm0dLF-Qv382rnUQFUnj7A,55.30372202396393,25.25410863605009,1805883732926354.0,0.2929653591579861,0.0050167507595486,29.29653591579861,0.5016750759548599
3963177293775370,1496292000000,114.21668940177,111480967750226,False,JLhia0sxlvAfmlq8LgiWrg,55.30238628387451,25.251901087309705,1805883732926354.0,0.3743353949652778,0.0071004231770833,37.43353949652778,0.71004231770833
543978288670015,1738755972012,169.0,106609934906640,False,jwEmDicGCnyHsxY5ZP8rpa,55.3034108877182,25.25357009489244,,0.2213376363118489,0.0109113057454427,22.13376363118489,1.09113057454427
1195291660913538,1496322411000,285.15327506917,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.304070711135864,25.246728958878563,1805883732926354.0,0.4207933213975694,0.0029432508680555,42.07933213975694,0.29432508680555
915706312553388,1613727541000,220.05472702509,104723918435539,False,l890jopinugy0dw9uav6hd,55.30414044857025,25.254744208578657,,0.5352808634440104,0.0003662109375,53.52808634440104,0.03662109375
25677209675299182,1767255992968,60.0,106609934906640,False,kO0Qw2TH5RNugaBDP8snoW,55.30028343200683,25.24782550731372,,0.1133448282877604,0.0036265055338541,11.33448282877604,0.36265055338541
317951576451870,1533883080396,27.460815429688,105455461693813,False,48XkIPi1RdiO6jXhSlAIcA,55.29915153980255,25.24603026798826,492619558525608.0,0.3562151590983073,0.002362569173177,35.621515909830734,0.23625691731770002
518847872577398,1533881161434,206.70680236816,105455461693813,False,R65hV5P2R5iatnb_0iySlA,55.29887795448303,25.245690625132028,492619558525608.0,0.420148213704427,0.0201683044433593,42.014821370442704,2.01683044433593
719487556516673,1676372387389,204.2963523864746,106609934906640,False,4D8x3iRjBQWsmopULgTIKN,55.301023721694946,25.249557645518337,,0.2940724690755208,0.0729866027832031,29.407246907552082,7.29866027832031
942378140903218,1715515594919,297.3548741340637,106609934906640,False,6zcfny5GKPDdmUXC038b7V,55.30235946178436,25.245816778303748,,0.3858197530110677,0.0045763651529947,38.581975301106766,0.45763651529947
140163274764925,1591514858000,12.740929733114,104723918435539,False,XiZBXRgaToRDeOtKfEPGbA,55.3048700094223,25.24470565548025,,0.3195279439290364,0.0053736368815104,31.952794392903638,0.53736368815104
