id,x1,y1,x2,y2,length
1737,329101.28840736253,2792362.277181392,329093.4738819244,2792337.8932979405,46.83263904446028
1738,329055.9143357425,2792334.180226591,329051.4336519368,2792340.0085201263,59.7499743699551
1739,329956.1130932574,2792247.4516596096,329956.72909673234,2792261.1917685205,146.81643034949292
1740,329745.2392099395,2792077.2966722175,329511.74980313977,2792086.373470579,331.40956843742845
1741,329676.66331474844,2792136.6849682364,329680.73210969294,2792170.1559546813,33.71738462425066
1742,329646.6419569008,2792129.8953588894,329511.74980313977,2792086.373470579,141.7393661211081
1743,329646.6419569008,2792129.8953588894,329734.8619029382,2792127.8323706132,88.24406382000139
1744,329802.7921509857,2793554.7956058746,329767.9939783407,2793561.2600339334,35.40001150978857
1745,329826.04488071194,2793634.841156046,329827.44456143025,2793639.5871134335,82.93476519331247
1746,329325.0964547671,2792924.755828034,329310.3369620533,2792897.6899520755,30.82862738717577
1747,329334.56775256095,2792921.589863697,329317.56249734556,2792876.2402349873,124.28977993351037
1748,329307.56869485136,2792930.6268018987,329306.0172592949,2792925.0519430307,89.94005342263944
1749,329310.3369620533,2792897.6899520755,329288.7120583519,2792902.2500391332,22.100471806503887
1750,329283.83039298106,2792938.5702283597,329295.18016977696,2792978.075485828,41.119480418596474
1751,327792.17534568335,2792109.1546206065,327781.8750605077,2792090.7519326466,70.50379297766032
1752,327770.93343328335,2792097.1725004,327781.8750605077,2792090.7519326466,12.686327151318656
1753,328295.8977402082,2791953.143723162,328304.75377883896,2791968.950640787,18.118721396212788
1754,328304.75377883896,2791968.950640787,328314.42142734316,2792022.5236956608,54.439756774124945
1755,328304.75377883896,2791968.950640787,328289.3306501543,2791986.7051609214,23.517990637602516
1756,328497.27379111433,2792660.864293596,328452.9815598666,2792686.340545749,51.09639099457878
1757,329999.90917840484,2791954.3747271965,330165.3479369366,2791955.06707264,268.2014036352769
1758,330076.04916650546,2791951.535237527,330093.8171063777,2791884.4119377015,69.43512847804818
1759,330169.8189243945,2791946.813226557,330238.55961188336,2791946.9145625546,68.74076218246944
1760,330158.24690276035,2791953.6717324974,330138.5107601305,2791884.870092937,71.57639926773929
1761,330164.0526644177,2791908.0571097163,330195.5637117702,2791886.6023853202,38.12153333964264
1762,330138.5107601305,2791884.870092937,330119.23799355165,2791887.515930879,19.453534126681863
1763,330134.1427814345,2792037.8016958674,330132.80657685,2792019.6505012717,18.200310655145355
1764,330134.1427814345,2792037.8016958674,330130.9213320981,2792051.6785902744,14.245909385139079
1765,330134.1427814345,2792037.8016958674,330107.1216625816,2792035.6261816854,27.108557027824723
1766,330132.80657685,2792019.6505012717,330102.9692883306,2792017.886995036,137.63144578045117
1767,330105.9290691674,2792053.798045318,330107.1216625816,2792035.6261816854,45.33445674201619
1768,330107.1216625816,2792035.6261816854,330102.9692883306,2792017.886995036,18.218697947323594
1769,330071.8394249782,2792068.860139474,330134.2765069917,2792066.1154589504,80.8808779727897
1770,330077.9025908145,2791977.168685366,330084.5298781209,2791996.206156142,20.158031416620922
1771,330093.8693759744,2791996.122130954,330094.1499574868,2792013.6551304236,17.53524440605896
1772,329985.0982373029,2792005.78562366,330081.5213641173,2792018.2116657863,97.3586866770799
1773,329999.92309700174,2792020.4550340422,330012.82227857236,2792019.794490118,12.9160831318068
1774,330065.7989984582,2792016.3153350055,330071.8394249782,2792068.860139474,52.89086148999407
1775,327945.3160201437,2791673.474931049,327930.02256170614,2791670.5120756933,275.3897436053573
1776,327931.9098664042,2791662.8220036323,327965.6698516141,2791671.0448943325,34.746983294647016
1777,327965.6020654662,2791584.846699979,327982.14819571143,2791588.8461052417,17.022622258192694
1778,327963.8522260847,2791677.0834309408,327955.63335072587,2791689.25200235,14.684142545856016
1779,327982.14819571143,2791588.8461052417,327972.9931624139,2791627.259606133,39.48938699730547
1780,327906.3891816858,2791663.8554687677,327876.96329440316,2791583.6250132807,85.45647330675523
1781,327906.3891816858,2791663.8554687677,327875.1426740141,2791678.964580553,34.70777291361775
1782,327876.96329440316,2791583.6250132807,327858.49784942647,2791627.5853070063,47.68102434541774
1783,327858.49784942647,2791627.5853070063,327875.1426740141,2791678.964580553,54.00814693873312
1784,328033.6236313648,2792493.9524949444,328089.0918506206,2792463.070745484,63.485477056949726
1785,328033.6236313648,2792493.9524949444,328048.11137518194,2792464.51096542,32.81308247717993
1786,328033.6236313648,2792493.9524949444,328097.5209131666,2792480.1680220193,65.36722661610544
1787,328089.0918506206,2792463.070745484,328048.11137518194,2792464.51096542,41.005775210829825
1788,327801.78383903473,2793733.0815933165,327896.59495165164,2793723.244777742,95.32003995124235
1789,327896.59495165164,2793723.244777742,327847.04445540905,2793674.821261071,69.28267203742463
1790,329238.4441741373,2793450.4414961534,329233.74276082404,2793432.377083702,18.66618022935357
1791,329233.74276082404,2793432.377083702,329255.68831486104,2793426.1510829553,61.11057333456115
1792,329414.47417267674,2792055.1073503722,329468.71384445357,2792051.9090285636,54.43818325492284
1793,328842.51857112086,2794035.950960163,328809.68773140264,2794056.8389554084,38.912369228256054
1794,328809.68773140264,2794056.8389554084,328811.1196785895,2794095.9377135145,39.124971031131686
1795,329151.26171677123,2793724.573513968,329167.6703915582,2793736.275192475,117.63687629953395
1796,329832.1073495645,2793654.6500062016,329822.66025706613,2793658.1033783285,10.058495698638273
1797,329860.0434539701,2793675.346851228,329891.5594018142,2793640.242814903,47.17571763941085
1798,329860.0434539701,2793675.346851228,329877.4995011874,2793628.5993746584,49.90030210386674
1799,329891.5594018142,2793640.242814903,329862.1860657564,2793615.819598365,38.200675616024256
