id,start_x,start_y,end_x,end_y,length,wkt
21,329218.45526332123,2792071.2167729954,329316.0881366786,2792406.3597644167,349.29532565414354,"LINESTRING (329218.45526332123 2792071.2167729954, 329225.344602815 2792087.7691092775, 329231.7057103383 2792104.7823153515, 329273.1066094922 2792243.6110975114, 329287.766023141 2792297.0329800537, 329316.0881366786 2792406.3597644167)"
22,329361.03019031766,2792574.434516434,329316.0881366786,2792406.3597644167,173.98530218159746,"LINESTRING (329361.03019031766 2792574.434516434, 329340.3468159588 2792497.913212591, 329328.36466068466 2792454.616118001, 329316.0881366786 2792406.3597644167)"
23,329374.9709322318,2792516.586224844,329316.0881366786,2792406.3597644167,126.27333999319035,"LINESTRING (329374.9709322318 2792516.586224844, 329360.82173720235 2792497.9873183668, 329353.3366924649 2792487.701558316, 329347.37049671425 2792475.61307443, 329340.99885471154 2792460.9374358165, 329328.3805944574 2792425.524878836, 329326.1852140127 2792420.0246087965, 329323.69193587825 2792414.871517153, 329320.288606122 2792410.261653184, 329316.0881366786 2792406.3597644167)"
24,329813.70071134774,2793971.68125041,329795.7808388972,2793982.320187158,20.8400768656629,"LINESTRING (329813.70071134774 2793971.68125041, 329795.7808388972 2793982.320187158)"
25,329813.70071134774,2793971.68125041,329818.8811380736,2793982.2510032733,11.771002363841895,"LINESTRING (329813.70071134774 2793971.68125041, 329818.8811380736 2793982.2510032733)"
26,329813.70071134774,2793971.68125041,329824.8565933225,2793963.132592649,14.054652331098131,"LINESTRING (329813.70071134774 2793971.68125041, 329824.8565933225 2793963.132592649)"
27,329777.9339564333,2793941.932611567,329767.58043740113,2793946.9926915816,11.523878084409487,"LINESTRING (329777.9339564333 2793941.932611567, 329767.58043740113 2793946.9926915816)"
28,329777.9339564333,2793941.932611567,329771.97182185686,2793928.492412414,14.703265010908149,"LINESTRING (329777.9339564333 2793941.932611567, 329771.97182185686 2793928.492412414)"
29,329795.7808388972,2793982.320187158,329777.9339564333,2793941.932611567,44.155065911612986,"LINESTRING (329795.7808388972 2793982.320187158, 329783.42044909135 2793954.4039293868, 329780.50611809676 2793947.782691224, 329777.9339564333 2793941.932611567)"
30,328294.30374083796,2792616.821888019,328291.1846486721,2792618.7558349585,3.6699981886099575,"LINESTRING (328294.30374083796 2792616.821888019, 328291.1846486721 2792618.7558349585)"
31,328294.30374083796,2792616.821888019,328299.40467037243,2792627.3478562627,11.696815360850337,"LINESTRING (328294.30374083796 2792616.821888019, 328299.40467037243 2792627.3478562627)"
32,328331.0529313326,2792594.0220258497,328294.30374083796,2792616.821888019,43.247391313733836,"LINESTRING (328331.0529313326 2792594.0220258497, 328300.8018874305 2792612.7956034713, 328294.30374083796 2792616.821888019)"
33,328256.7740148528,2792540.8147290046,328294.30374083796,2792616.821888019,84.7950059430081,"LINESTRING (328256.7740148528 2792540.8147290046, 328268.65532479517 2792567.1628363524, 328279.5043846081 2792588.3948732666, 328294.30374083796 2792616.821888019)"
34,328331.0529313326,2792594.0220258497,328346.7984441514,2792584.261820381,18.525193243712202,"LINESTRING (328331.0529313326 2792594.0220258497, 328346.7984441514 2792584.261820381)"
35,328331.0529313326,2792594.0220258497,328337.821360188,2792606.5319925193,14.22360345500508,"LINESTRING (328331.0529313326 2792594.0220258497, 328337.821360188 2792606.5319925193)"
36,328287.91310949845,2792522.140572948,328331.0529313326,2792594.0220258497,83.89665316987039,"LINESTRING (328287.91310949845 2792522.140572948, 328294.36350153765 2792531.02092824, 328303.89390952163 2792546.7971163373, 328313.86352953303 2792563.044096629, 328331.0529313326 2792594.0220258497)"
37,327782.55953678663,2793884.8760029944,327795.3117098008,2793897.331661741,17.825861869493842,"LINESTRING (327782.55953678663 2793884.8760029944, 327795.3117098008 2793897.331661741)"
38,327802.92134487885,2793873.0510751056,327782.55953678663,2793884.8760029944,23.55658813358299,"LINESTRING (327802.92134487885 2793873.0510751056, 327792.4053403998 2793878.757316683, 327782.55953678663 2793884.8760029944)"
39,327802.92134487885,2793873.0510751056,327811.2732229716,2793881.7408070723,12.052605914455222,"LINESTRING (327802.92134487885 2793873.0510751056, 327811.2732229716 2793881.7408070723)"
40,327802.92134487885,2793873.0510751056,327794.9463970752,2793864.6888933037,11.55533975950518,"LINESTRING (327802.92134487885 2793873.0510751056, 327794.9463970752 2793864.6888933037)"
41,327802.92134487885,2793873.0510751056,327812.7705505742,2793867.198238108,11.456987114885004,"LINESTRING (327802.92134487885 2793873.0510751056, 327812.7705505742 2793867.198238108)"
42,328732.9128305868,2793382.5436219783,328738.0906711857,2793392.825029145,11.511618765232239,"LINESTRING (328732.9128305868 2793382.5436219783, 328738.0906711857 2793392.825029145)"
43,328732.9128305868,2793382.5436219783,328757.7749026871,2793367.949123706,28.829186754666505,"LINESTRING (328732.9128305868 2793382.5436219783, 328757.7749026871 2793367.949123706)"
44,328732.9128305868,2793382.5436219783,328726.9185538284,2793370.644070073,13.324064297407858,"LINESTRING (328732.9128305868 2793382.5436219783, 328726.9185538284 2793370.644070073)"
45,328732.9128305868,2793382.5436219783,328724.1755967953,2793387.949605492,10.274430012296973,"LINESTRING (328732.9128305868 2793382.5436219783, 328724.1755967953 2793387.949605492)"
46,328757.7749026871,2793367.949123706,328768.0056903461,2793361.937114977,11.866476523633082,"LINESTRING (328757.7749026871 2793367.949123706, 328768.0056903461 2793361.937114977)"
47,328757.7749026871,2793367.949123706,328750.49108664214,2793356.054810893,13.947352920190605,"LINESTRING (328757.7749026871 2793367.949123706, 328750.49108664214 2793356.054810893)"
48,328757.7749026871,2793367.949123706,328763.2995301797,2793376.974320646,10.581856582488609,"LINESTRING (328757.7749026871 2793367.949123706, 328763.2995301797 2793376.974320646)"
49,329516.1340269461,2793090.7891351827,329512.54979323165,2793079.0029201997,12.319155610161658,"LINESTRING (329516.1340269461 2793090.7891351827, 329512.54979323165 2793079.0029201997)"
50,329516.1340269461,2793090.7891351827,329519.4181833257,2793101.1500605834,10.86896767328686,"LINESTRING (329516.1340269461 2793090.7891351827, 329519.4181833257 2793101.1500605834)"
51,329516.1340269461,2793090.7891351827,329507.81668894633,2793093.5748576033,8.771451465214989,"LINESTRING (329516.1340269461 2793090.7891351827, 329507.81668894633 2793093.5748576033)"
52,329512.54979323165,2793079.0029201997,329505.07431451586,2793081.434613114,7.861037619867041,"LINESTRING (329512.54979323165 2793079.0029201997, 329505.07431451586 2793081.434613114)"
53,329482.8227976953,2792977.115859747,329512.54979323165,2793079.0029201997,106.13513739555785,"LINESTRING (329482.8227976953 2792977.115859747, 329505.4838841466 2793054.775593047, 329512.54979323165 2793079.0029201997)"
54,328750.49108664214,2793356.054810893,328744.682840182,2793346.9113498754,10.832294600810894,"LINESTRING (328750.49108664214 2793356.054810893, 328744.682840182 2793346.9113498754)"
